SIRA NO;SINIF;DERS ADI;ÜNİTE/TEMA/ ÖĞRENME ALANI;KAZANIM/ÖĞRENME ÇIKTISI/BÖLÜM;E-İÇERİK TÜRÜ;AÇIKLAMA;AI Senaryosu;EBA_URL
9;4;İnsan Hakları, Vatandaşlık ve Demokrasi 4;3. ETKİN BİR VATANDAŞIM;İHVD.4.3.3. Dijital vatandaşlığın gerektirdiği özellikleri belirleyebilme;Video/Etkileşimli İçerik;"Dijital vatandaşlık kavramını, internet ve sosyal medya kullanırken uyulması gereken kuralları, siber zorbalık, dijital ayak izi gibi konuları ele alan bir video hazırlanır.
Öğrencilerin dijital vatandaşlığın gerektirdiği özellikleri belirleyebileceği ve dijital ortamlarda güvenli ve sorumlu bir şekilde nasıl davranabileceğini öğrenebileceği etkileşimli bir oyun veya simülasyon hazırlanır.";;
10;4;İnsan Hakları, Vatandaşlık ve Demokrasi 4;3. ETKİN BİR VATANDAŞIM;İHVD.4.3.4. Etkin bir vatandaş olarak toplumsal yardımlaşma faaliyetleri ile ilgili fikir üretebilme;Video/Etkileşimli İçerik;"Toplumsal yardımlaşma ve dayanışmanın önemini, ihtiyaç sahiplerine nasıl yardım edilebileceğini ve etkin vatandaş olarak yardımlaşma faaliyetlerine nasıl katılınabileceğini anlatan bir video hazırlanır.
Öğrencilerin toplumsal yardımlaşma ile ilgili fikirler üretebileceği ve bu fikirleri hayata geçirmek için neler yapabileceğini tartışabileceği etkileşimli içerik (oyun vb.) hazırlanır.";;
11;4;İnsan Hakları, Vatandaşlık ve Demokrasi 4;4. HAYATIMDA DEMOKRASİ;İHVD.4.4.1. Grup çalışmalarında karar alma süreçlerine katılarak grup dinamiğini sağlayabilme;Video/Etkileşimli İçerik;"Grup çalışmalarının önemini, grup içinde nasıl iletişim kurulması gerektiğini, karar alma süreçlerine nasıl katılım sağlanabileceğini ve grup dinamiğinin nasıl sağlanabileceğini anlatan bir video hazırlanır.
Öğrencilerin grup çalışmaları ile ilgili deneyim kazanabileceği ve grup dinamiğini yaşayabileceği etkileşimli bir oyun veya simülasyon hazırlanır.";;
12;4;İnsan Hakları, Vatandaşlık ve Demokrasi 4;4. HAYATIMDA DEMOKRASİ;İHVD.4.4.2. Grup arkadaşları ile farklı fikirler hakkında müzakere edebilme;Video/Etkileşimli İçerik;"Farklı fikirlerin önemini, fikirlerin saygılı bir şekilde nasıl ifade edileceğini, farklı görüşlere nasıl yaklaşılması gerektiğini ve müzakere yoluyla ortak kararlara nasıl varılabileceğini anlatan bir video hazırlanır.
Öğrencilerin farklı fikirler hakkında müzakere edebileceği ve ortak kararlara varabileceği etkileşimli bir oyun veya simülasyon hazırlanır.";;
13;4;İnsan Hakları, Vatandaşlık ve Demokrasi 4;4. HAYATIMDA DEMOKRASİ;İHVD.4.4.3. Seçme ve seçilme hakkı konusunda fikir üretebilme;Video/Etkileşimli İçerik;"Seçme hakkının toplumsal yaşam için önemini, seçme ve seçilme hakkının yaşantısındaki farklı alanlara uygulanması ile ilgili animasyon  hazırlanır.
Öğrencilerin seçme ve seçilme hakkı ile ilgili fikirlerini ifade edebileceği ve demokratik katılımın önemini anlayabileceği etkileşimli bir oyun veya simülasyon hazırlanır.";;
1;10;Kimya 10;1. ETKİLEŞİM;KİM.10.1.1. Kimyasal değişimlere ilişkin kanıtları belirlemeye yönelik bilimsel gözlem yapabilme.;Etkileşimli İçerik;Öğrencilerin kimyasal değişimleri gözlemleyip bu değişimlere ait kanıtları belirleyebileceği eşleştirme veya sürükle bırak etkinliği gibi etkinlik hazırlanır.;;
2;10;Kimya 10;1. ETKİLEŞİM;KİM.10.1.2. Kimyasal tepkimelerin oluşumunu açıklamak için model oluşturabilme.;Video;Birkaç farklı tepkimenin gerçekleşme sürecini mikro seviyede gösteren deney videosu hazırlanır.;;
3;10;Kimya 10;1. ETKİLEŞİM;"KİM.10.1.2. Kimyasal tepkimelerin oluşumunu
açıklamak için model oluşturabilme.";Etkileşimli İçerik;Kimyasal tepkime denklemlerinin modellerle sürükle bırak yöntemiyle yerleştirildiği bir etkileşimli içerik hazırlanır.;;
4;10;Kimya 10;1. ETKİLEŞİM;KİM.10.1.3. Kimyasal tepkime türlerinin oluşum sürecine ilişkin bilimsel gözlem yapabilme.;Video;Çökelme tepkimesi, indirgenme-yükseltgenme tepkimesi, asit-baz tepkimesinin mikro seviyede oluşum süreci ile ilgili animasyon veya deney videosu hazırlanır.;;
5;10;Kimya 10;1. ETKİLEŞİM;KİM.10.1.4. Mol kavramına ilişkin operasyonel tanımlama yapabilme.;Etkileşimli İçerik;Küçük taneciklerin ölçülebilir özelliklerini (kütle, hacim, tanecik sayısı vb.) belirlemek için sürükle bırak etkinliği hazırlanır.;;
6;10;Kimya 10;1. ETKİLEŞİM;KİM.10.1.5. Saf maddelerin ölçülebilir özellikleri arasındaki ilişkileri belirlemeye yönelik tümdengelimsel akıl yürütebilme.;Video/Etkileşimli İçerik;Mol kavramı ile ilgili öğrenme sürecinde saf madde ve ölçülebilir özellikler arasındaki ilişkiyi belirlemeye yönelik mol sayısı, molekül sayısı, atom sayısı ve kütle hesaplamalarını içeren içerik hazırlanır.;;
7;10;Kimya 10;1. ETKİLEŞİM;KİM.10.1.6. Kimyasal tepkime denklemlerinde tanecik sayılarının tutarsızlıklarına ilişkin çelişkiyi giderebilme.;Video/Etkileşimli İçerik;"Denkleştirilmemiş bir tepkime denkleminin kütlenin korunumu yasasına uyup uymadığına, ilgili tepkimedeki taneciklerin sayılarını eşitlemek için katsayıların nasıl belirlenmesi gerektiği ile ilgili içerik hazırlanır.
Öğrencilerin kimyasal tepkime denklemlerini dengeleyebileceği ve tanecik sayılarını kontrol edebileceği bir etkileşimli içerik hazırlanır.";;
8;10;Kimya 10;1. ETKİLEŞİM;KİM.10.1.7. Kimyasal tepkimelerde stokiyometrik ilişkilere yönelik tümdengelimsel akıl yürütebilme.;Etkileşimli İçerik;"Denkleştirilmiş bir tepkime üzerinde kütle, mol sayısı, tanecik sayısı arasındaki ilişkileri belirlemek ile ilgili etkileşimli içerik hazırlanır.
Öğrencilerin stokiyometrik ilişkileri hesaplayabileceği ve bu ilişkiler üzerine tümdengelimsel akıl yürütebileceği bir etkileşimli içerik hazırlanır.";;
9;10;Kimya 10;1. ETKİLEŞİM;KİM.10.1.8. Gazların özelliklerine ilişkin bilimsel gözlem yapabilme.;Video/Etkileşimli İçerik;"Gazların özelliklerinin katı ve sıvılardan farkını algılamak için simülasyon veya animasyon hazırlanır.
Gazların özelliklerini ve bu özelliklerin bilimsel gözlemlerle nasıl tespit edildiğini açıklayan bir video hazırlanır.";;
10;10;Kimya 10;1. ETKİLEŞİM;KİM.10.1.9. Gazların özellikleri arasındaki ilişkileri bilimsel sorgulayabilme.;Video/Etkileşimli İçerik;Gaz davranışını etkileyen basınç, hacim, sıcaklık ve madde miktarı değişkenleri ve bunlar arasındaki ilişkileri belirleyen simülasyon veya video hazırlanır.;;
11;10;Kimya 10;1. ETKİLEŞİM;KİM.10.1.10. İdeal gaz denklemini tümevarımsal akıl yürütme yoluyla oluşturabilme.;Etkileşimli İçerik;Deneysel yoldan türetilmiş gaz yasaları ile ideal gaz yasası arasındaki ilişkiyi açıklayan etkileşimli içerik hazırlanır.;;
12;10;Kimya 10;2. ÇEŞİTLİLİK;"KİM.10.2.1. Çözünme sürecine ilişkin bilimsel model
oluşturabilme";Video;Çözünme sürecini çözücü-çözücü, çözünen-çözünen ve çözücü-çözünen etkileşimleri düzeyinde gösteren animasyonlar hazırlanır.;;
13;10;Kimya 10;2. ÇEŞİTLİLİK;KİM.10.2.2. Farklı maddelerin birbiri içinde çözünebilirliğini kanıt kullanarak açıklayabilme;Etkileşimli İçerik;Verilen maddelerin sudaki çözünebilirliğini iyonik ya da moleküler yapısına ve molekülün polar/apolarlığına göre belirlemelerini hedefleyen oyun veya etkileşimli içerik (simülasyon) hazırlanır.;;
14;10;Kimya 10;2. ÇEŞİTLİLİK;KİM.10.2.3. Çözünme olayını sınıflandırabilme;Video/Etkileşimli İçerik;Öğrencinin çözünme olayının iyonik, moleküler, fiziksel veya kimyasal olduğunu belirleyeceği içerik hazırlanır.;;
15;10;Kimya 10;2. ÇEŞİTLİLİK;KİM.10.2.4. Çözeltilerin molar derişimine ilişkin tümevarımsal akıl yürütebilme;Video/Etkileşimli İçerik/Görsel;"Çözünmüş madde oranını belirten ifadeler ile ilgili etkileşimli içerik hazırlanır.
Kimya laboratuvarında kullanılan maddelerin ve günlük hayatta tüketilen maddelerin etiketleri üzerinde belirtilen derişim bilgileri hakkında farkındalık oluşturacak bir video veya infografik hazırlanır.
Derişimle hesaplamaları ile ilgili etkileşimli içerik hazırlanır.";;
16;10;Kimya 10;2. ÇEŞİTLİLİK;KİM.10.2.7. Çözeltileri sınıflandırabilme;Etkileşimli İçerik;"Çözelti türleri (doymuş,doymamış,aşırı doymuş, elektrolit, elektrolit olmayan, derişik, seyreltik) ile ilgili
etkileşimli içerik hazırlanır.";;
17;10;Kimya 10;2. ÇEŞİTLİLİK;KİM.10.2.8. Çözünen maddenin tanecik sayısının çözeltilerin kaynama ve donma noktasına etkisini belirlemeye yönelik hipotez oluşturabilme;Video/Etkileşimli İçerik;Çözeltilerin koligatif özelliklerinin (kaynama noktası yükselmesi, donma noktası alçalması) günlük yaşamdaki örnekleri ile ilgili etkileşimli içerik, video veya animasyon hazırlanır.;;
18;10;Kimya 10;3. SÜRDÜRÜLEBİLİRLİK;KİM.10.3.2. Kimyasal tepkimeler sonucunda atmosferin doğasındaki değişimin ekosisteme etkilerine yönelik problem çözebilme;Video/Etkileşimli İçerik;"Kimyasal tepkimeler sonucunda atmosferin doğasındaki değişimin ekosisteme etkilerini (hava kirliliği, ozon tabakasının delinmesi, asit yağmurları, sera etkisi) gösteren deney veya video hazırlanır.
Yeşil kimya kapsamında atık önleme, yenilenebilir ham madde kullanma ve sürdürülebilirlik temelinde emisyon gazlarının yeniden kullanımı için deney veya video hazırlanır.
Karbon ayak izi ve emisyon ayak izi oluşumu ile ilgili etkileşimli içerik hazırlanır.
Öğrencilerin kimyasal tepkimeler sonucunda atmosferde meydana gelen değişiklikleri analiz edebileceği, ekosistem üzerindeki etkilerini çözümleyebileceği bir etkileşimli içerik hazırlanır.";;
1;11;Kimya 11;1. ETKİLEŞİM;KİM.11.1.1. Fiziksel ve kimyasal olaylardaki enerji değişimine ilişkin deney yapabilme;Video/Etkileşimli İçerik;"Günlük hayatta karşılaşılan fiziksel ve kimyasal olaylardaki enerji değişimlerine ilişkin sınıflandırma yapabilecekleri içerik hazırlanır.
Öğrencilerin günlük hayatta karşılaşabilecekleri fiziksel ve kimyasal olaylardaki enerji değişimlerine ilişkin animasyon vya video hazırlanır.
Fiziksel (erime, donma, kaynama) ve kimyasal (yanma) olaylarda enerji değişimini (ısı alımı/verilmesi) gösteren deneylerin yapılışını anlatan bir video hazırlanır.
Öğrencilerin farklı fiziksel ve kimyasal olayların enerji değişimlerini gözlemleyebilecekleri sanal laboratuvar hazırlanır.";;
2;11;Kimya 11;1. ETKİLEŞİM;KİM.11.1.2. Maddelerin enerji kaynağı olma potansiyeline ilişkin hipotezler oluşturabilme;Video/Etkileşimli İçerik;"Öğrencilerin farklı maddelerin(odun, kömür, ceviz kabuğu, yağ, şeker vb.) enerji kaynağı olma potansiyelini belirlemek amacıyla sanal laboratuvar hazırlanır.
Farklı maddelerin (fosil yakıtlar, biyokütle) enerji kaynağı olarak kullanımını, enerji verimliliğini ve çevresel etkilerini ele alan bir video hazırlanır.
Öğrencilerin farklı enerji kaynaklarının avantajlarını ve dezavantajlarını karşılaştırabileceği ve yeni enerji kaynakları hakkında hipotezler oluşturabileceği etkileşimli içerik, animasyon veya oyun hazırlanır.";;
3;11;Kimya 11;1. ETKİLEŞİM;KİM.11.1.3. Bağ enerjileri temelinde tepkimelerin entalpi değişimine ilişkin tümevarımsal akıl yürütebilme;Video/Etkileşimli İçerik;"Kimyasal bağ enerjisi kavramını, tepkimelerde bağ kırılması ve bağ oluşumunu, tepkime entalpisini (∆H) ve bağ enerjileri kullanılarak entalpi değişiminin nasıl hesaplandığını anlatan bir video hazırlanır.
Öğrencilerin farklı tepkimeler için bağ enerjilerini kullanarak entalpi değişimini hesaplayabileceği ve entalpi ile ilgili çıkarımlar yapabileceği etkileşimli bir simülasyon veya uygulama hazırlanır.
Günlük hayatta karşılaşılan bazı ekzotermik ve endotermik fiziksel ve kimyasal tepkimelerin bağ enerjisi temelinde açıklanması ile ilgili içerik hazırlanır.";;
4;11;Kimya 11;1. ETKİLEŞİM;KİM.11.1.4. Kimyasal tepkimelerin standart tepkime entalpilerini standart oluşum entalpi verilerini kullanarak tahmin edebilme;Video/Etkileşimli İçerik;"Standart oluşum entalpi verileri kullanılarak bazı tepkimlerin standart tepkime entalpilerinin hesaplanması ile ilgili etkileşimli içerik hazırlanır.
Öğrencilerin farklı tepkimeler için standart oluşum entalpilerini kullanarak standart tepkime entalpisini hesaplayabileceği  etkileşimli içerik, simülasyon veya video hazırlanır.
Öğrencilerin standart tepkime entalpisini belirlemeye yönelik çıkarım yapabilecekleri ve standart tepkime entalpisini hesaplayabilecekleri etkileşimli içerik veya animasyon hazırlanır";;
5;11;Kimya 11;1. ETKİLEŞİM;KİM.11.1.5. Kimyasal tepkimelerin gerçekleşme şartlarını açıklamak için kanıt kullanabilme;Video/Etkileşimli İçerik;"Kimyasal bir değişimin gerçekleşme ya da gerçekleşmeme durumunu belirleyen enerji ve uygun doğrultuda çarpışma(çarpışma teorisi) ile ilgili benzetim/simülasyon, video veya animasyon hazırlanır.
Kimyasal tepkimelerin gerçekleşmesi için gerekli olan şartları (etkin çarpışma, aktivasyon enerjisi, uygun yönlenme)  anlatan bir video veya animasyon hazırlanır.
Aktivasyon enerjisi ile ilgili etkileşimli içerik, video veya animasyon hazırlanır.
Öğrencilerin farklı tepkimeler ve deneyler üzerinden tepkimelerin gerçekleşme şartlarını inceleyebileceği ve kanıtlar kullanarak açıklayabileceği etkileşimli bir simülasyon, video veya laboratuvar uygulaması hazırlanır.";;
6;11;Kimya 11;1. ETKİLEŞİM;KİM.11.1.6. Tepkime hızının zamanla değişimini bilimsel veriye dayalı tahmin edebilme;Video/Etkileşimli İçerik;"Tepkime hızının zamanla değişimini çarpışma teorisi ile açıklayan animasyon hazırlanır.
Etkin olan ve etkin olmayan çarpışma ile ilgili etkileşimli içerik, video veya animasyon hazırlanır.
Öğrencilerin deney verilerini kullanarak tepkime hızının zamanla değişimini grafikler üzerinde inceleyebileceği ve tahminlerde bulunabileceği etkileşimli bir simülasyon veya uygulama hazırlanır.";;
7;11;Kimya 11;1. ETKİLEŞİM;KİM.11.1.7. Tepkime hızına etki eden faktörleri bilimsel sorgulayabilme;Etkileşimli İçerik;"Öğrencilerin sıcaklığın, katı tepkenin temas yüzeyinin ve katalizörün tepkime hızına etkilerini belirlemeleri amacıyla sanal laboratuvar(simülasyon) veya etkileşimli içerik hazırlanır.
Öğrencilerin tepken cinsinin, fiziksel halinin, tepken derişiminin tepkime hızına etkilerini belirlemeleri amacıyla sanal laboratuvar(simülasyon) veya sürükle bırak etkinliği hazırlanır.
Tepkime hızına etki eden faktörlerden tepken derişimi ve sıcaklığı çarpışma teorisi ile ilişkilendiren animasyon hazırlanır.
Öğrencilerin farklı faktörlerin tepkime hızına etkisini sorgulayabileceği ve deneyler tasarlayabileceği etkileşimli simülasyon hazırlanır.";;
8;11;Kimya 11;1. ETKİLEŞİM;KİM.11.1.8. Kimyasal tepkimelerin hız denklemini bilimsel veriye dayalı tahmin edebilme;Etkileşimli İçerik/Doküman;"Öğrencilere tek ve çok basamaklı tepkimelerde her deneyde bir tepkenin başlangıç derişimi değiştirilirken diğer tepken ya da tepkenlerin derişimlerinin sabit tutulduğu şartlarda tepkimelerin başlangıç hızlarının belirlendiği sanal laboratuvar(simülasyon) hazırlanır.
Öğrencilere tepken derişimleri değiştirilerek tepkimelerin hız denklemi, hız sabiti ve derecelerini belirleyebileceği çalışma kağıdı hazırlanır.
Öğrencilerin deney verilerini kullanarak tepkime hız denklemini ve hız sabitini belirleyebileceği etkileşimli bir simülasyon veya uygulama hazırlanır.";;
9;11;Kimya 11;2. ÇEŞİTLİLİK;KİM.11.2.1. Tepkimelerin tersinir olabileceğine ilişkin gözlem yapabilme;Video/Etkileşimli İçerik;"Öğrencilerin tepkimelerin tersinir olabileceğine ilişkin gözlem yapabilmeleri için video hazırlanır.
Tersinir bir tepkimeye ilişkin gözlemlenebilir nitelikleri(renk değişimi, yeni bir katı oluşumu vb.) gösteren bir animasyon/simülasyon hazırlanır.";;
10;11;Kimya 11;2. ÇEŞİTLİLİK;KİM.11.2.2. Tepkimelerdeki denge sürecine ilişkin bilimsel gözleme dayalı tahminde bulunabilme;Etkileşimli İçerik/Doküman;"Öğrencilerin tepkime denge sürecindeki ileri ve geri tepkime hızları ile ilgili tahminlerini oluşturup sonuç çıkarabilecekleri animasyon veya simülasyon hazırlanır.
Öğrencilerin tersinir bir tepkime için farklı zaman aralıklarında ileri ve geri tepkime hızlarının denge sürecindeki değişimini hız-zaman grafiği çizerek gösterebildikleri döküman hazırlanır.
Öğrencilerin farklı tepkimeler için denge sürecini gözlemleyebileceği ve denge durumunda derişimlerin nasıl olacağını tahmin edebileceği etkileşimli bir simülasyon veya oyun hazırlanır.";;
11;11;Kimya 11;2. ÇEŞİTLİLİK;KİM.11.2.3. Denge sabiti ifadesinin oluşturulmasına ilişkin tümevarımsal akıl yürütebilme;Video/Etkileşimli İçerik;"Öğrencinin homojen ve heterojen tepkimelerde denge sabiti ifadesinin oluşturulmasına ilişkin tümevarımsal akıl yürütebileceği etkileşimli içerik veya animasyon hazırlanır.
Öğrencilerin farklı tepkimeler için denge sabiti ifadesini yazabileceği ve denge sabiti ile ilgili çıkarımlar yapabileceği etkileşimli bir simülasyon veya uygulama hazırlanır.
Bilimsel genellemelerle oluşturulmuş denge sabiti modeli doğrultusunda denge derişimleri verilen farklı homojen ve heterojen denge tepkimelerinin  denge sabitlerinin hesaplanması ile ilgili etkileşimli içerik hazırlanır.";;
12;11;Kimya 11;2. ÇEŞİTLİLİK;KİM.11.2.4. Tersinir tepkimelerin dengeye ulaşıp ulaşmadığını bilimsel veriye dayalı tahmin edebilme;Video/Etkileşimli İçerik;"Denge durumunda derişimlerin ve mol sayılarının nasıl olacağını ve Q (tepkime oranı) ile K (denge sabiti) arasındaki ilişkiyi kullanarak tepkimenin dengeye ulaşıp ulaşmadığını anlatan bir video hazırlanır.
Aynı tepkimenin bileşenlerinin farklı derişim örnekleri kullanılarak tepkimenin denge durumunu, dengede değilse tepkime yönünün belirlemesini sağlayan animasyon, simülasyon veya etkileşimli içerik hazırlanır.";;
13;11;Kimya 11;2. ÇEŞİTLİLİK;KİM.11.2.5. Dengeye etki eden faktörleri bilimsel sorgulayabilme;Video/Etkileşimli İçerik;"Öğrencilerin sıcaklık ve katalizör gibi değişkenlerin dengeye etkisini gözlemleyebilecekleri sanal laboratuvar(simülasyon) veya etkileşimli içerik hazırlanır.
Öğrencilerin derişim, hacim, basınç gibi değişkenlerin dengeye etkisini gözlemleyebilecekleri sanal laboratuvar(simülasyon) veya video hazırlanır.
Derişim, hacim, basınç, sıcaklıkgibi değişkenlerin Le Chatelier ilkesi ile ilişkilendirilerek dengeye etkilerini gösteren animasyon veya etkileşimli içerik hazırlanır.
Sıcaklık ve katalizör gibi değişkenlerin Le Chatelier ilkesi ile ilişkilendirilerek dengeye etkilerini gösteren etkileşimli içerik veya video hazırlanır.";;
14;11;Kimya 11;2. ÇEŞİTLİLİK;KİM.11.2.6. Saf suyun otoiyonizasyonuna ilişkin bilimsel gözlem yapabilme;Video/Etkileşimli İçerik;"Öğrencilerin saf suyun  (250C) otoiyonizasyonunu gözlemleyebileceği, iletkenlik ve pH kavramını ölçebileceği bir etkileşimli içerik, animasyon video hazırlanır.
Öğrencilerden saf suyun pH değerini ve iyonlar çarpımı sabitini(250C, Ksu)kullanarak sudaki H3O+ ve OH- iyonlarının derişimini hesaplamaları için etkileşimli içerik hazırlanır.";;
15;11;Kimya 11;2. ÇEŞİTLİLİK;KİM.11.2.7. Asit ve baz teorilerini karşılaştırabilme;Video/Etkileşimli İçerik;"Brønsted-Lowry asit-baz tanımını kullanarak eşlenik asit-baz çiftlerinin bulunacağı etkileşimli içerik hazırlanır.
Arrhenius ve Brønsted-Lowry asit ve baz teorilerinin benzer ve farklı yönlerini gösteren etkileşimli içerik hazırlanır.
Arrhenius ve Brønsted-Lowry asit ve baz teorilerinin varsayımlarına ilişkin özellikleri sembolik ve alt mikro seviyede gösterimler üzerinden  asit-baz tanımlarına ilişkin varsayımları içeren infografik ya da illüstrasyon hazırlanır.
Ametal oksitlerin asidik özelliğini ve suda çözünme denklemlerini modelleyebileceği sana laboratuvar, etkileşimli içerik veya video hazırlanır.";;
16;11;Kimya 11;2. ÇEŞİTLİLİK;KİM.11.2.8. Asitlerin ve bazların kuvvetlerine ilişkin bilimsel sorgulama yapabilme;Video/Etkileşimli İçerik;"Öğrencilerin aynı sıcaklık ve derişimde farklı asit ve baz çözeltilerinin pH ve iletkenlik değerlerini ölçmeleri için sanal laboratuvar(Simülasyon), animasyon veya etkileşimli içerik hazırlanır.
Asitlerin ve bazların saf suda iyonlaşma yüzdelerini kullanarak asit ve baz kuvvetlerine ilişkin sembolik ve alt mikro seviyede modellerle simülasyon, animasyon, etkileşmli içerik veya video hazırlanır.
İyonlaşma yüzdeleri ve saf suda iyonlaşmasına ait tepkime denklemi verilen asit ve bazların kuvvetlerinin belirlenmesine yönelik etkileşimli içerik, animasyon veya video hazırlanır.
pH değerinin derişime bağlı olarak değişimi ile ilgili etkileşimli içerik veya animasyon hazırlanır.";;
17;11;Kimya 11;2. ÇEŞİTLİLİK;KİM.11.2.9. Kuvvetli asit-zayıf asit ve kuvvetli baz- zayıf baz sulu çözeltilerindeki pH hesaplamalarını karşılaştırabilme;Video/Etkileşimli İçerik;"Öğrencilerin monofonksiyonel kuvvetli asit-kuvvetli baz ve zayıf asit-zayıf baz çözeltilerinin pH değerlerine ilişkin verileri kullanarak H3O+ iyon derişimlerini hesaplamaları için etkileşimli içerik, animasyon, simülasyon veya video  hazırlanır.
Farklı derişimlerdeki asetik asit çözeltilerinin pH' ları ölçülerek ayrışma sabitlerinin belirlenmesi ile ilgili video veya animasyon veya etkileşimli içerik hazırlanır.
Ka/Kb, pH/pOH,  H3O+ /OH-    değerleri verilerek kuvvetli-zayıf asitlerin ve bazların kuvvetiyle ilgili  etkileşimli içerik, animasyon, simülasyon veya video hazırlanır.
Aynı sıcaklıklarda , derişimleri aynı monofonksiyonel kuvvetli asit-baz ve zayıf asit-baz çözeltilerinin pH - H3O+ iyon derişimleriyle ilgili etkileşimli içerik, animasyon, simülasyon veya video hazırlanır.";;
18;11;Kimya 11;2. ÇEŞİTLİLİK;KİM.11.2.10. Nötralleşme olayını operasyonel tanımlayabilme;Video/Etkileşimli İçerik;"Nötralleşme tepkimelerini, asit ve bazların tepkimeye girerek tuz ve su oluşturmasını, ve bu tepkimelerin günlük hayattaki örneklerini (mide asidinin nötralleşmesi, toprak asidinin düzenlenmesi) anlatan bir video hazırlanır.
Öğrencinin kuvvetli asit ve kuvvetli baz çözeltileri karıştırıldığında gerçekleşen tepkimedeki iletkenlik, pH değişimi ve indikatörün renk değişimi ölçütlerini gözlemleyebileceği sanal laboratuvar(simülasyon), animasyon, etkileşimli içerik veya video hazırlanır.
Nötralleşmeyle ilgili matematiksel ilişkilendirmeyi yapabileceği etkileşimli içerik hazırlanır.";;
19;11;Kimya 11;2. ÇEŞİTLİLİK;KİM.11.2.11. Kuvvetli asit ve kuvvetli baz çözeltilerinin derişimlerini titrasyon yöntemiyle belirlemeye yönelik deney yapabilme;Video/Etkileşimli İçerik;"Titrasyon yöntemini, titrasyon işleminde kullanılan malzemeleri (büret, erlenmayer, indikatör) ve kuvvetli asit/baz çözeltilerinin derişimlerinin nasıl belirlendiğini anlatan bir video, animasyon veya etkileşimli içerik hazırlanır hazırlanır.
Öğrencinin derişim bilinen kuveetli bir asit ya da kuvvetli baz çözeltisini kullanarak derişimi bilinmeyen kuvvetli bir asit ya da kuvvetli baz çözeltisinin derişimini belirlemeye yönelik titrasyon yapabileceği sanal laboratuvar(simülasyon), animasyon veya etkileşimli içerik hazırlanır.";;
20;11;Kimya 11;2. ÇEŞİTLİLİK;KİM.11.2.12. Asidik ya da bazik ürünlerin en uygun olanına karar verebilme;Video/Etkileşimli İçerik;"Öğrencilerin mide, ağız, diş ve cilt sağlığı için günlük hayatta kullanılan bazı ürünlerin asidik veya bazik özelliklerini, pH derecelerini belirleyebilecekleri deney(simülasyon), animasyon, video veya sürükle bırak etkinliği hazırlanır.
Günlük hayatta kullandığımız mide, ağız, diş ve cilt sağlığı ürünlerinin sağlığa zararlı ve yaralı yönlerini asidik ve bazik özellik bağlamında anlatan animasyon videosu hazırlanır.
Öğrencilerin farklı asidik ve bazik ürünler arasından en uygun olanını seçebileceği ve karşılaştırmalar yapabileceği etkileşimli bir oyun, animasyon, video veya simülasyon hazırlanır.";;
21;11;Kimya 11;2. ÇEŞİTLİLİK;KİM.11.2.13. Suda az çözünen tuzların çözünürlüğüne ilişkin model oluşturabilme;Video/Etkileşimli İçerik/Doküman;"Suda az çözünen tuzların molar çözünürlüğüne etki eden faktörleri (sıcaklık, basınç) anlatan bir video hazırlanır.
Suda az çözünen bir tuzun çözünme sürecine ilişkin mikro seviyede süreç aşamalarını gösteren deney videosu ve animasyon hazırlanır.
Çözünürlük çarpımı sabitlerini kullanarak suda az çözünen tuzların molar çözünürlüklerine ilişkin hesaplama yapabilecekleri çalışma yaprağı hazırlanır.
Öğrencilerin suda az çözünen farklı tuzların çözünürlük çarpım sabitlerini kullanarak çözünürlüklerine ilişkin sonuçlar çıkarabilecekleri etkileşimli içerik, animasyon veya video hazırlanır.";;
22;11;Kimya 11;2. ÇEŞİTLİLİK;KİM.11.2.14. Suda az çözünen tuzların çözünürlüğüne etki eden faktörlere ilişkin bilimsel çıkarım yapabilme;Video/Etkileşimli İçerik;"Öğrencilerin ortak iyon ve sıcaklığın çözünürlüğe etkisini Le Chatelier ilkesi ile ilişkilendirerek açıklayabilmeleri için video, animasyon veya simülasyon hazırlanır.
Öğrencinin ortak iyonun ve sıcaklığın çözünürlüğe etkisini belirleyebileceği sanal laboratuvar(simülasyon) hazırlanır.";;
23;11;Kimya 11;3. SÜRDÜRÜLEBİLİRLİK;KİM.11.3.1. Evsel atıklardan fermantasyon yöntemi ile yeşil hidrojen enerjisi elde etme sürecine yönelik hipotez oluşturabilme;Video/Etkileşimli İçerik;"Seçilen evsel atıklardan fermantasyon ile yeşil hidrojen gazı elde etmeye yönelik deney videosu, animasyon veya simülasyon hazırlanır.
Seçilen evsel atık türünün, fermantasyon yöntemi ile elde edilen yeşil hidrojen gazı miktarlarının değişimine etkisini gösteren sanal laboratuvar(simülasyon), animasyon, video veya etkileşimli içerik hazırlanır.
Hidrojen gazı miktarının değişimine neden olan faktörlere yönelik simülasyon videosu, animasyon, video veya etkileşimli içerik  hazırlanır.
Öğrencilerin bu süreçle ilgili hipotezler oluşturabileceği ve yeşil hidrojen enerjisinin potansiyelini değerlendirebileceği etkileşimli içerik, animasyon veya video hazırlanır.";;
